latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
30.205,77.083,303.1,1.3,1.1,2021-01-04,0750,Aqua,MODIS,55,6.1NRT,291.5,5.6,D
30.207,77.096,302.8,1.3,1.1,2021-01-04,0750,Aqua,MODIS,54,6.1NRT,291.6,5.3,D
30.21,77.471,306,1.2,1.1,2021-01-04,0750,Aqua,MODIS,63,6.1NRT,293.6,5.7,D
30.112,76.912,302.4,1,1,2021-01-09,0810,Aqua,MODIS,52,6.1NRT,291.3,4,D
30.155,77.025,310.4,1,1,2021-01-09,0810,Aqua,MODIS,70,6.1NRT,291.3,9.6,D
28.452,77.347,303.6,1.1,1.1,2021-01-16,0815,Aqua,MODIS,57,6.1NRT,292.6,4.4,D
30.083,77.048,302,1,1,2021-01-18,0805,Aqua,MODIS,50,6.1NRT,289.7,4.2,D
30.331,77.033,303.6,1,1,2021-01-18,0805,Aqua,MODIS,56,6.1NRT,292.4,4.4,D
30.066,77.305,311.6,1,1,2021-01-18,0805,Aqua,MODIS,67,6.1NRT,287.2,9.8,D
29.912,77.2,303.1,1,1,2021-01-18,0805,Aqua,MODIS,55,6.1NRT,290.9,4.6,D
29.911,77.19,303.4,1,1,2021-01-18,0805,Aqua,MODIS,56,6.1NRT,290.6,4.9,D
28.01,77.248,304.8,1,1,2021-01-18,0805,Aqua,MODIS,60,6.1NRT,289.7,6.1,D
29.93,77.19,307.8,1.3,1.1,2021-01-20,0750,Aqua,MODIS,66,6.1NRT,290.7,11.5,D
30.278,77.058,304.9,1.3,1.1,2021-01-20,0750,Aqua,MODIS,60,6.1NRT,291.5,8.5,D
29.908,74.942,307.1,1.5,1.2,2021-01-21,0835,Aqua,MODIS,64,6.1NRT,296.3,9.5,D
29.901,74.952,309.2,1.5,1.2,2021-01-21,0835,Aqua,MODIS,68,6.1NRT,295.7,12.3,D
28.859,76.191,305.7,1.2,1.1,2021-01-23,0820,Aqua,MODIS,48,6.1NRT,290.3,7.4,D
28.858,76.184,307.8,1,1,2021-01-25,0810,Aqua,MODIS,59,6.1NRT,291.8,7,D
29.209,76.591,306.1,1,1,2021-01-26,0540,Terra,MODIS,63,6.1NRT,288.8,7.5,D
30.33,77.224,304.2,1.1,1,2021-01-27,0755,Aqua,MODIS,58,6.1NRT,291.6,6.1,D
29.912,74.948,302.5,1.8,1.3,2021-01-29,0610,Terra,MODIS,52,6.1NRT,291.4,10.2,D
29.908,74.954,302.9,1.8,1.3,2021-01-29,0610,Terra,MODIS,39,6.1NRT,291.5,9.8,D
29.905,74.944,306.6,1,1,2021-01-29,1710,Terra,MODIS,69,6.1NRT,278.7,11.3,N
29.906,74.955,312.5,1,1,2021-01-29,1710,Terra,MODIS,85,6.1NRT,280.8,15.4,N
30.351,77.036,300.9,1.5,1.2,2021-01-31,0555,Terra,MODIS,42,6.1NRT,288.9,7.9,D
28.985,76.125,308.5,1,1,2021-02-01,0815,Aqua,MODIS,24,6.1NRT,295.4,6,D
30.405,76.895,301.2,1.1,1,2021-02-02,0545,Terra,MODIS,45,6.1NRT,290.4,3.8,D
29.388,76.421,315.5,1,1,2021-02-02,0545,Terra,MODIS,76,6.1NRT,291.1,13.6,D
29.381,76.413,310.4,1,1,2021-02-02,0545,Terra,MODIS,70,6.1NRT,290.9,10.2,D
29.379,76.423,304.9,1,1,2021-02-02,0545,Terra,MODIS,60,6.1NRT,290.8,6.4,D
29.859,76.427,306.9,1,1,2021-02-02,0545,Terra,MODIS,64,6.1NRT,289.9,7.7,D
29.631,77.11,308.8,1.1,1,2021-02-02,0545,Terra,MODIS,68,6.1NRT,291.3,9.1,D
29.202,76.843,301.2,1.1,1,2021-02-02,0545,Terra,MODIS,46,6.1NRT,290.9,3.9,D
30.371,77.099,311.3,1,1,2021-02-03,0805,Aqua,MODIS,71,6.1NRT,290.9,10,D
29.282,76.975,304.2,1,1,2021-02-03,0805,Aqua,MODIS,43,6.1NRT,293,3.9,D
28.969,76.35,305.5,1.1,1,2021-02-04,0535,Terra,MODIS,61,6.1NRT,288.9,7,D
29.151,76.695,300.1,1,1,2021-02-04,0535,Terra,MODIS,25,6.1NRT,287.8,3.4,D
29.082,76.666,308.2,1,1,2021-02-04,0535,Terra,MODIS,67,6.1NRT,282.4,10.3,D
29.476,76.86,306.2,2.1,1.4,2021-02-07,0740,Aqua,MODIS,41,6.1NRT,293.2,16.8,D
29.476,76.853,307.3,2.1,1.4,2021-02-07,0740,Aqua,MODIS,57,6.1NRT,292.6,20.2,D
29.628,77.115,304.7,1.3,1.1,2021-02-08,0820,Aqua,MODIS,46,6.1NRT,294.6,6.2,D
29.63,77.106,307.6,1.3,1.1,2021-02-08,0820,Aqua,MODIS,62,6.1NRT,293.7,8.8,D
28.828,76.938,309.9,1.3,1.1,2021-02-08,0820,Aqua,MODIS,48,6.1NRT,298.6,7.6,D
28.826,76.925,330.4,1.3,1.1,2021-02-08,0820,Aqua,MODIS,85,6.1NRT,299.6,36.6,D
29.006,77.168,305.8,1,1,2021-02-10,0810,Aqua,MODIS,35,6.1NRT,295.8,3.3,D
30.166,77.035,305.4,1,1,2021-02-10,0810,Aqua,MODIS,56,6.1NRT,293.9,4.7,D
30.178,77.259,310.1,1,1,2021-02-10,0810,Aqua,MODIS,67,6.1NRT,296.2,6.9,D
29.851,77.15,317.1,1,1,2021-02-10,0810,Aqua,MODIS,76,6.1NRT,294.7,13.6,D
29.192,76.394,309.7,1,1,2021-02-10,0810,Aqua,MODIS,55,6.1NRT,294.9,6.8,D
29.148,76.669,312,1,1,2021-02-10,0810,Aqua,MODIS,61,6.1NRT,296.2,7.6,D
29.099,76.647,317.9,1,1,2021-02-10,0810,Aqua,MODIS,73,6.1NRT,295.7,12.9,D
29.101,76.657,309,1,1,2021-02-10,0810,Aqua,MODIS,54,6.1NRT,295.2,5.7,D
29.649,77.092,311.4,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,294.4,8.7,D
29.087,76.442,310.5,1.2,1.1,2021-02-12,0755,Aqua,MODIS,61,6.1NRT,295.2,10.3,D
30.357,77.096,307.2,1.5,1.2,2021-02-16,0555,Terra,MODIS,63,6.1NRT,293.5,10.5,D
30.359,77.104,306.3,1.5,1.2,2021-02-16,0555,Terra,MODIS,62,6.1NRT,293.6,9.2,D
30.362,77.088,307.3,1.5,1.2,2021-02-16,0555,Terra,MODIS,64,6.1NRT,293.8,10,D
30.308,77.433,306.5,1.6,1.2,2021-02-16,0555,Terra,MODIS,63,6.1NRT,293.6,10.6,D
29.955,77.061,311.1,1.1,1.1,2021-02-17,0815,Aqua,MODIS,66,6.1NRT,296.6,8.5,D
29.95,77.055,312.3,1.1,1.1,2021-02-17,0815,Aqua,MODIS,68,6.1NRT,296.8,9.1,D
30.407,77.2,306.7,1.2,1.1,2021-02-17,0815,Aqua,MODIS,58,6.1NRT,296.3,4.9,D
30.27,77.386,306,1.2,1.1,2021-02-17,0815,Aqua,MODIS,54,6.1NRT,295.5,5,D
29.626,76.549,313.4,1.1,1,2021-02-17,0815,Aqua,MODIS,70,6.1NRT,296.3,10.9,D
29.568,76.746,316.6,1.1,1,2021-02-17,0815,Aqua,MODIS,74,6.1NRT,295.4,14.1,D
29.799,76.541,316.6,1.1,1,2021-02-17,0815,Aqua,MODIS,74,6.1NRT,296.5,13.9,D
29.8,76.552,333.9,1.1,1,2021-02-17,0815,Aqua,MODIS,88,6.1NRT,297.7,35.6,D
