latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
28.23665,77.06664,346.4,0.42,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,320.3,6.3,D
30.58994,76.95629,348.9,0.4,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,315,4.5,D
29.39086,76.88231,346.8,0.41,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,307,7.6,D
30.61358,77.119,335.5,0.4,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,310.1,2.9,D
29.19057,75.7181,339.4,0.45,0.39,2021-04-01,0748,N,VIIRS,l,2.0NRT,314.4,7.9,D
29.21634,76.84401,334.7,0.41,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,306.4,1.6,D
29.18265,75.71513,342.1,0.45,0.39,2021-04-01,0748,N,VIIRS,l,2.0NRT,312.8,4.8,D
30.63193,77.15343,299.8,0.4,0.44,2021-04-01,2012,N,VIIRS,n,2.0NRT,288.9,0.5,N
29.46402,75.22588,302.2,0.5,0.49,2021-04-01,2012,N,VIIRS,n,2.0NRT,281.9,0.9,N
30.06787,76.87049,311.5,0.41,0.45,2021-04-01,2012,N,VIIRS,n,2.0NRT,282.5,1.2,N
29.02935,77.04699,342.7,0.45,0.47,2021-04-02,0724,N,VIIRS,n,2.0NRT,309.1,2.6,D
28.91001,77.22807,344.7,0.44,0.46,2021-04-02,0724,N,VIIRS,n,2.0NRT,312,6.4,D
29.03132,77.04533,337.4,0.45,0.47,2021-04-02,0724,N,VIIRS,l,2.0NRT,308,2.7,D
30.41885,77.41962,355.3,0.4,0.44,2021-04-02,0730,N,VIIRS,n,2.0NRT,310.7,6.3,D
30.41783,77.42014,346.4,0.4,0.44,2021-04-02,0730,N,VIIRS,n,2.0NRT,312.5,8.2,D
30.77563,76.88398,345.3,0.42,0.45,2021-04-02,0730,N,VIIRS,n,2.0NRT,310.9,4,D
29.35536,76.73534,311.8,0.39,0.59,2021-04-02,1954,N,VIIRS,n,2.0NRT,278.7,1.9,N
28.83336,76.97001,296.4,0.37,0.58,2021-04-02,1954,N,VIIRS,n,2.0NRT,284.4,0.6,N
28.38959,77.25451,301.3,0.35,0.57,2021-04-02,1954,N,VIIRS,n,2.0NRT,288.1,0.5,N
28.35166,77.26125,297.5,0.35,0.57,2021-04-02,1954,N,VIIRS,n,2.0NRT,287,0.5,N
30.46394,77.23601,336.9,0.37,0.58,2021-04-02,1954,N,VIIRS,n,2.0NRT,287.8,3.8,N
