latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
31.078,75.935,303,1.2,1.1,2021-01-11,0755,Aqua,MODIS,54,6.1NRT,288.6,6.9,D
31.289,75.817,307.1,1.4,1.2,2021-01-14,0830,Aqua,MODIS,65,6.1NRT,288,14.8,D
32.075,75.566,310,1.1,1,2021-01-18,0805,Aqua,MODIS,69,6.1NRT,293.1,8.8,D
32.073,75.555,309.8,1.1,1,2021-01-18,0805,Aqua,MODIS,69,6.1NRT,292.9,8.8,D
30.817,76.457,303.1,1,1,2021-01-18,0805,Aqua,MODIS,55,6.1NRT,291.8,4.9,D
31.717,75.412,302.6,1.1,1,2021-01-18,0805,Aqua,MODIS,53,6.1NRT,290.6,5.5,D
31.852,75.684,303.1,1,1,2021-01-18,0805,Aqua,MODIS,55,6.1NRT,292.8,3.9,D
32.232,75.508,303.6,1.1,1,2021-01-18,0805,Aqua,MODIS,57,6.1NRT,292.9,4.8,D
32.038,75.574,303.9,1.1,1,2021-01-18,0805,Aqua,MODIS,54,6.1NRT,292.2,4.9,D
31.119,75.967,307.5,1.4,1.2,2021-01-20,0750,Aqua,MODIS,65,6.1NRT,290.1,13.8,D
32.139,75.605,305.1,1.8,1.3,2021-01-21,0835,Aqua,MODIS,61,6.1NRT,291.8,13.5,D
30.989,76.58,314.2,1.3,1.1,2021-01-23,0820,Aqua,MODIS,74,6.1NRT,291.9,15.3,D
31.042,76.43,309.8,1.3,1.1,2021-01-23,0820,Aqua,MODIS,44,6.1NRT,286.5,10.1,D
30.859,76.196,301.8,1,1,2021-01-25,0810,Aqua,MODIS,49,6.1NRT,291,3.9,D
29.952,74.499,302.7,1.1,1,2021-01-25,0810,Aqua,MODIS,53,6.1NRT,291.3,4.8,D
30.289,76.269,310.3,1,1,2021-01-25,0810,Aqua,MODIS,70,6.1NRT,292,9,D
30.518,76.248,301.5,1,1,2021-01-25,0810,Aqua,MODIS,47,6.1NRT,290.1,4.1,D
29.954,74.509,305.3,1.1,1,2021-01-25,0810,Aqua,MODIS,61,6.1NRT,292.1,6.5,D
31.463,75.614,302.1,1.2,1.1,2021-01-27,0755,Aqua,MODIS,50,6.1NRT,292,5.1,D
31.473,75.748,312.9,1.2,1.1,2021-01-27,0755,Aqua,MODIS,73,6.1NRT,292.9,13.6,D
31.047,75.425,301.6,1.3,1.1,2021-01-27,0755,Aqua,MODIS,48,6.1NRT,290.8,5.6,D
31.886,75.685,300.6,1.2,1.1,2021-01-27,0800,Aqua,MODIS,40,6.1NRT,290.6,4.2,D
31.82,74.587,300.8,1.4,1.2,2021-01-27,0800,Aqua,MODIS,42,6.1NRT,290.6,6.3,D
32.021,74.904,303,1.3,1.1,2021-01-30,0830,Aqua,MODIS,39,6.1NRT,285.9,8.5,D
30.942,76.609,301.5,1.4,1.2,2021-01-31,0555,Terra,MODIS,47,6.1NRT,289.8,6.3,D
30.931,74.636,302,1.1,1,2021-01-31,0555,Terra,MODIS,38,6.1NRT,291.5,4.5,D
31.811,75.567,301.8,2.9,1.6,2021-01-31,0735,Aqua,MODIS,37,6.1NRT,290.7,19.5,D
31.338,75.852,318.5,1.1,1,2021-02-01,0815,Aqua,MODIS,78,6.1NRT,293.3,16.1,D
31.879,74.685,304.3,1,1,2021-02-01,0815,Aqua,MODIS,58,6.1NRT,290.9,5.1,D
31.103,75.189,304.7,1,1,2021-02-01,0815,Aqua,MODIS,56,6.1NRT,291.1,5.7,D
30.4,76.254,302.9,1.1,1,2021-02-01,0815,Aqua,MODIS,53,6.1NRT,291.8,4.7,D
32.018,75.5,302.1,1,1,2021-02-01,0815,Aqua,MODIS,51,6.1NRT,291.9,3.9,D
32.049,75.528,305,1,1,2021-02-01,0815,Aqua,MODIS,60,6.1NRT,291.2,5.6,D
31.34,75.863,314.9,1.1,1,2021-02-01,0815,Aqua,MODIS,75,6.1NRT,293.2,12.5,D
31.755,75.554,303.5,1,1,2021-02-02,0545,Terra,MODIS,48,6.1NRT,290.5,4.9,D
30.405,76.895,301.2,1.1,1,2021-02-02,0545,Terra,MODIS,45,6.1NRT,290.4,3.8,D
30.776,76.356,302.6,1,1,2021-02-02,0545,Terra,MODIS,53,6.1NRT,288.6,5.3,D
31.356,75.76,305.3,1,1,2021-02-02,0545,Terra,MODIS,61,6.1NRT,291.9,5.7,D
31.449,75.245,319,1,1,2021-02-02,0545,Terra,MODIS,75,6.1NRT,290.8,16.5,D
31.444,75.596,303.4,1,1,2021-02-02,0545,Terra,MODIS,56,6.1NRT,291.3,4.3,D
31.849,75.482,306.8,1,1,2021-02-02,0545,Terra,MODIS,64,6.1NRT,290.5,7.2,D
30.407,76.884,311.7,1,1,2021-02-02,0545,Terra,MODIS,72,6.1NRT,290.9,11,D
31.434,75.218,302.5,1.6,1.2,2021-02-05,0750,Aqua,MODIS,0,6.1NRT,290.8,8.6,D
32.15,75.314,312.8,1.3,1.1,2021-02-07,0605,Terra,MODIS,73,6.1NRT,290.8,16.2,D
32.157,75.322,307.2,1.3,1.1,2021-02-07,0605,Terra,MODIS,48,6.1NRT,290.9,10,D
32.006,75.635,302.5,1.4,1.2,2021-02-07,0605,Terra,MODIS,52,6.1NRT,290.3,7.3,D
31.302,75.325,303.6,2.5,1.5,2021-02-07,0740,Aqua,MODIS,39,6.1NRT,293.4,13.5,D
31.308,75.328,305.5,2.5,1.5,2021-02-07,0740,Aqua,MODIS,41,6.1NRT,293.1,16.2,D
31.881,75.681,307.4,1.2,1.1,2021-02-08,0820,Aqua,MODIS,63,6.1NRT,293.7,7,D
31.022,75.468,312.1,1.1,1.1,2021-02-08,0820,Aqua,MODIS,69,6.1NRT,294.3,11.4,D
31.023,75.48,327.6,1.1,1.1,2021-02-08,0820,Aqua,MODIS,84,6.1NRT,294.8,29.6,D
29.818,75.577,304.1,1.1,1,2021-02-09,0550,Terra,MODIS,54,6.1NRT,292.5,6.3,D
31.163,75.868,304.6,1,1,2021-02-10,0810,Aqua,MODIS,52,6.1NRT,294.2,4.3,D
31.172,76.058,310.9,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,295,7.5,D
31.17,76.048,318.4,1,1,2021-02-10,0810,Aqua,MODIS,77,6.1NRT,295.3,13.9,D
31.182,76.194,310.2,1,1,2021-02-10,0810,Aqua,MODIS,67,6.1NRT,293.5,7.6,D
30.837,76.296,314.7,1,1,2021-02-10,0810,Aqua,MODIS,74,6.1NRT,294.7,10.5,D
31.001,76.156,309.7,1,1,2021-02-10,0810,Aqua,MODIS,66,6.1NRT,295.5,6.9,D
31.178,75.593,311.7,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,294.5,8.8,D
31.18,75.604,304.8,1,1,2021-02-10,0810,Aqua,MODIS,49,6.1NRT,294.6,4,D
31.948,75.361,309.6,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,293.8,7.7,D
31.166,75.953,321.1,1,1,2021-02-10,0810,Aqua,MODIS,79,6.1NRT,295.1,16.8,D
30.828,76.298,310.6,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,295.3,7.1,D
31.88,74.66,308,1,1,2021-02-10,0810,Aqua,MODIS,63,6.1NRT,294.3,6.7,D
31.167,75.963,310.8,1,1,2021-02-10,0810,Aqua,MODIS,68,6.1NRT,294.6,7.8,D
30.786,76.133,307,1.2,1.1,2021-02-12,0755,Aqua,MODIS,65,6.1NRT,294.6,7,D
30.784,76.121,304.8,1.2,1.1,2021-02-12,0755,Aqua,MODIS,60,6.1NRT,293.9,5.3,D
32.007,75.612,305.6,1.2,1.1,2021-02-12,0800,Aqua,MODIS,39,6.1NRT,292.2,6.5,D
32.032,75.534,306.2,1.2,1.1,2021-02-16,0555,Terra,MODIS,63,6.1NRT,293.4,6.7,D
31.782,75.684,309.1,1,1,2021-02-17,0815,Aqua,MODIS,64,6.1NRT,296.6,5.5,D
31.908,75.671,306.3,1,1,2021-02-17,0815,Aqua,MODIS,50,6.1NRT,295.2,4.7,D
