latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
31.17133,76.07529,332.9,0.42,0.38,2021-04-01,0748,N,VIIRS,n,2.0NRT,304.5,2.2,D
31.17997,74.98816,332.6,0.46,0.39,2021-04-01,0748,N,VIIRS,n,2.0NRT,302.2,3.7,D
31.17912,74.98341,334.6,0.46,0.39,2021-04-01,0748,N,VIIRS,n,2.0NRT,301.5,3.7,D
31.14798,74.99595,344.8,0.46,0.39,2021-04-01,0748,N,VIIRS,n,2.0NRT,302.9,5.8,D
30.99685,76.47558,348.1,0.41,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,315.2,11.1,D
30.98005,76.56321,339.7,0.41,0.37,2021-04-01,0748,N,VIIRS,l,2.0NRT,313.7,6.5,D
31.57379,75.94568,337.2,0.42,0.38,2021-04-01,0748,N,VIIRS,n,2.0NRT,310.1,2.7,D
31.57236,75.35543,346.5,0.44,0.38,2021-04-01,0748,N,VIIRS,l,2.0NRT,317.8,12.5,D
32.17501,75.37077,330.6,0.43,0.38,2021-04-01,0748,N,VIIRS,n,2.0NRT,304.7,1.6,D
31.00024,76.47482,345,0.41,0.37,2021-04-01,0748,N,VIIRS,n,2.0NRT,312.3,11.1,D
31.21085,76.22411,340.9,0.41,0.37,2021-04-01,0748,N,VIIRS,l,2.0NRT,313.8,4.1,D
30.96617,74.47896,338,0.48,0.4,2021-04-01,0748,N,VIIRS,l,2.0NRT,312.2,5.1,D
31.02368,76.66933,326.6,0.43,0.46,2021-04-01,2012,N,VIIRS,n,2.0NRT,286.4,2.6,N
31.01521,76.6683,296,0.43,0.46,2021-04-01,2012,N,VIIRS,n,2.0NRT,284.2,0.6,N
31.01944,76.66885,333.8,0.43,0.46,2021-04-01,2012,N,VIIRS,n,2.0NRT,288.3,2.6,N
31.02414,76.66486,308.4,0.43,0.46,2021-04-01,2012,N,VIIRS,n,2.0NRT,286.7,2.6,N
31.01568,76.66373,302.7,0.43,0.46,2021-04-01,2012,N,VIIRS,n,2.0NRT,284,0.6,N
31.23717,76.44569,341.8,0.44,0.46,2021-04-02,0730,N,VIIRS,n,2.0NRT,305.1,5.2,D
32.21155,75.6465,330.1,0.46,0.47,2021-04-02,0730,N,VIIRS,l,2.0NRT,304.9,1.5,D
31.0167,76.67403,344,0.43,0.46,2021-04-02,0730,N,VIIRS,n,2.0NRT,308.4,5,D
32.04116,75.53786,330.1,0.47,0.48,2021-04-02,0730,N,VIIRS,l,2.0NRT,303.1,1.7,D
31.23299,76.44686,338.8,0.44,0.46,2021-04-02,0730,N,VIIRS,n,2.0NRT,308,4.9,D
31.37241,76.40495,300.5,0.43,0.62,2021-04-02,1948,N,VIIRS,n,2.0NRT,289.2,1.2,N
31.45616,76.10553,328.8,0.45,0.63,2021-04-02,1948,N,VIIRS,n,2.0NRT,290.6,4.1,N
31.36733,76.4052,303.3,0.43,0.62,2021-04-02,1948,N,VIIRS,n,2.0NRT,288.8,1.4,N
31.36669,76.40421,300.4,0.43,0.62,2021-04-02,1948,N,VIIRS,n,2.0NRT,288.4,1.2,N
31.45648,76.10047,340.8,0.45,0.63,2021-04-02,1948,N,VIIRS,n,2.0NRT,290.5,4.1,N
30.92151,76.75156,326.9,0.4,0.6,2021-04-02,1954,N,VIIRS,n,2.0NRT,289.4,3.9,N
31.0335,76.43568,302.2,0.42,0.61,2021-04-02,1954,N,VIIRS,n,2.0NRT,282.5,1,N
31.0278,76.43499,324.3,0.42,0.61,2021-04-02,1954,N,VIIRS,n,2.0NRT,284.4,1,N
31.03172,76.43587,326.4,0.42,0.61,2021-04-02,1954,N,VIIRS,n,2.0NRT,284,1.4,N
31.02602,76.4352,298.5,0.42,0.61,2021-04-02,1954,N,VIIRS,n,2.0NRT,282.4,1.4,N
31.0645,76.48933,299.8,0.42,0.61,2021-04-02,1954,N,VIIRS,n,2.0NRT,281.4,0.5,N
