,media,date,A1,A2,"agreement 
(K & R)","AQ related
Both 1",url,heading,matches
0,Hindu,2019-03-17,1,1,1,1,https://www.thehindu.com/news/cities/Kochi/no-major-change-in-pollution-levels-in-kochi/article26557376.ece,No major change in pollution levels in Kochi,"{'air quality': 1, 'pm10': 2, 'pm 2.5': 1, 'pm2.5': 1}"
1,TOI,2017-02-14,1,1,1,1,http://timesofindia.indiatimes.com//city/gurgaon/gurugram-countrys-most-polluted-city-again/articleshow/57135691.cms,Gurugram country’s most polluted city again,"{'air quality': 3, 'aqi': 1, 'pm2.5': 2, 'air pollution': 1}"
2,TOI,2016-12-01,1,0,0,0,http://timesofindia.indiatimes.com//home/environment/global-warming/Union-Cabinet-approves-Indias-Kigali-stand-on-hydrofluorocarbons/articleshow/55717741.cms,Union Cabinet approves India's Kigali stand on hydrofluorocarbons,"{'ozone': 2, 'carbon dioxide': 1}"
3,TOI,2011-11-21,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/8-of-people-in-Mumbai-Thane-hit-by-COPD/articleshow/10811042.cms,"8% of people in Mumbai, Thane hit by COPD","{'air pollution': 2, 'carbon dioxide': 1}"
4,TOI,2018-08-28,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/china-pollution-study-rings-alarm-for-india/articleshow/65569252.cms,China pollution study rings alarm for India,{'air pollution': 10}
5,Hindu,2016-05-14,1,1,1,1,https://www.thehindu.com/opinion/letters/Air-quality-report/article14317460.ece,Air quality report,{'air pollution': 1}
6,TOI,2018-10-20,1,1,1,1,http://timesofindia.indiatimes.com//city/ludhiana/how-punjab-and-haryanas-shot-at-saving-water-destroyed-delhis-air-quality/articleshow/66288980.cms,How Punjab and Haryana's shot at saving water destroyed Delhi's air quality,"{'air quality': 1, 'stubble burning': 6}"
7,TOI,2020-04-17,1,1,1,1,http://timesofindia.indiatimes.com//city/nagpur/subsidies-for-fossil-fuel-increases-while-for-renewables-it-falls-report/articleshow/75189506.cms,Subsidies for fossil fuel increases while for renewables it falls: Report,"{'air pollution': 1, 'sulphur dioxide': 1, 'so2': 1}"
8,TOI,2013-12-05,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/Noise-barrier-for-Pedder-Road-flyover/articleshow/26870633.cms,Noise barrier for Pedder Road flyover,{'air pollution': 2}
9,Hindu,2017-11-09,1,1,1,1,https://www.thehindu.com/opinion/editorial/capital-crisis/article20005352.ece,Capital crisis: on Delhi's deteriorating air quality,"{'air quality': 2, 'pm2.5': 2, 'smog': 2}"
10,TOI,2020-01-18,1,1,1,1,http://timesofindia.indiatimes.com//city/agra/cold-wave-grips-agra-region-temp-dips-6-notches-below-normal/articleshow/73338691.cms,"Cold wave grips Agra region, temp dips 6 notches below normal",{'air quality': 2}
11,Hindu,2017-11-20,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/poll-routs-fail-to-dampen-aaps-cheer-as-it-has-much-to-celebrate/article20557261.ece,Poll routs fail to dampen AAP’s cheer as it has much to celebrate,{'air pollution': 1}
12,TOI,2014-01-05,1,0,0,0,http://timesofindia.indiatimes.com//city/delhi/Prolonged-dense-fog-to-affect-flights/articleshow/28413541.cms,Prolonged dense fog to affect flights,{'smog': 1}
13,TOI,2012-09-16,1,1,1,1,http://timesofindia.indiatimes.com//city/nagpur/Ozone-day-programmes-at-activists-treehouse-today/articleshow/16415192.cms,Ozone day programmes at activist's treehouse today,{'ozone': 2}
14,Hindu,2015-12-06,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/cheif-justice-of-india-virtually-endorses-policy-on-restrictions-on-pvt-vehicles/article7954954.ece,CJI favours even-odd scheme to curb pollution; Kejriwal welcomes,"{'air quality': 1, 'odd even': 2}"
15,Hindu,2020-10-02,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/rai-seeks-action-against-thermal-plants-brick-kilns/article32748198.ece,"Rai seeks action against thermal plants, brick kilns ","{'air pollution': 2, 'stubble burning': 2}"
16,TOI,2019-10-16,1,1,1,1,http://timesofindia.indiatimes.com//city/kolkata/pwd-to-begin-environment-impact-survey-of-tallah-bridge/articleshow/71608174.cms,PWD to begin environment impact survey of Tallah Bridge,{'air pollution': 2}
17,Hindu,2016-05-24,1,1,1,1,https://www.thehindu.com/news/cities/Kochi/world-driving-away-from-diesel-vehicles/article8638908.ece,World driving away from diesel vehicles,"{'air pollution': 2, 'acid rain': 1, 'air quality': 1}"
18,TOI,2016-03-16,1,1,1,1,http://timesofindia.indiatimes.com//city/kolkata/Wake-up-and-smell-the-air-green-crusader-tells-state/articleshow/51417765.cms,"Wake up and smell the air, green crusader tells state",{'air pollution': 1}
19,Hindu,2015-12-18,1,1,1,1,https://www.thehindu.com/news/cities/bangalore/no-night-show-for-skywatchers-here/article8002364.ece,No night show for skywatchers here,"{'smog': 3, 'air pollution': 3}"
20,TOI,2014-02-03,1,1,1,1,http://timesofindia.indiatimes.com//city/pune/New-norms-to-bring-uniformity-in-chronic-obstructive-pulmonary-disease-care/articleshow/29789053.cms,New norms to bring uniformity in chronic obstructive pulmonary disease care,{'air pollution': 1}
21,TOI,2016-01-13,1,1,1,1,http://timesofindia.indiatimes.com//city/hyderabad/City-may-have-to-follow-odd-even-rule/articleshow/50555042.cms,`City may have to follow odd-even rule',"{'air quality': 3, 'aqi': 2}"
22,TOI,2015-12-19,1,1,1,1,http://timesofindia.indiatimes.com//city/bengaluru/HC-wants-state-to-look-at-Delhi-model-to-check-pollution/articleshow/50241831.cms,HC wants state to look at Delhi model to check pollution,{'air pollution': 1}
23,TOI,2020-04-24,1,1,1,1,http://timesofindia.indiatimes.com//city/chennai/quiet-t-nagar-bleeds-rs-135cr/day-but-locals-thrive/articleshow/75334358.cms,"Quiet T Nagar bleeds Rs 135 crore per day, but locals thrive",{'air pollution': 1}
24,Hindu,2016-11-16,1,1,1,1,https://www.thehindu.com/news/cities/Delhi/Trucks-to-enter-Delhi-only-after-midnight-L-G/article16643181.ece,Trucks to enter Delhi only after midnight: L-G,"{'air pollution': 2, 'pm 2.5': 1, 'pm 10': 1}"
25,Hindu,2019-11-07,1,1,1,1,https://www.thehindu.com/opinion/op-ed/pollution-as-a-pr-opportunity/article29902201.ece,Pollution as a PR opportunity,"{'smog': 1, 'crop burning': 1, 'air pollution': 1}"
26,TOI,2015-04-14,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/100-roads-dug-up-all-at-once-Mumbaikars-furious/articleshow/46914438.cms,"100 roads dug up all at once, Mumbaikars furious",{'air pollution': 1}
27,Hindu,2014-07-28,0,0,1,0,https://www.thehindu.com/in-school/signpost/had-the-asteroid-hit-at-a-different-time/article6258050.ece,Had the asteroid hit at a different time…,{'acid rain': 1}
28,Hindu,2020-11-17,1,1,1,1,https://www.thehindu.com/news/cities/kolkata/kolkata-witnesses-quietest-and-cleanest-deepavali/article33111149.ece,Kolkata witnesses quietest and cleanest Deepavali,"{'air quality': 2, 'pm 2.5': 2, 'aqi': 2}"
29,Hindu,2015-06-17,1,1,1,1,https://www.thehindu.com/sci-tech/energy-and-environment/cleaner-air-could-save-14-million-lives-in-india-china/article7326215.ece,"Cleaner air could save 1.4 million lives in India, China","{'air pollution': 7, 'air quality': 5}"
30,TOI,2019-09-11,1,1,1,1,http://timesofindia.indiatimes.com//city/delhi/aap-stealing-credit-for-cleaner-air-in-delhi-bjp/articleshow/71074935.cms,AAP stealing credit for cleaner air in Delhi: BJP,{'air pollution': 2}
31,TOI,2016-03-19,1,1,1,1,http://timesofindia.indiatimes.com//city/ahmedabad/Gujarat-govt-mulls-taking-old-diesel-vehicles-off-roads/articleshow/51466190.cms,Gujarat govt mulls taking old diesel vehicles off roads,{'air pollution': 1}
32,TOI,2018-12-12,1,1,1,1,http://timesofindia.indiatimes.com//city/mumbai/its-not-just-delhi-that-breathes-polluted-air/articleshow/67052277.cms,It's not just Delhi that breathes polluted air,"{'air pollution': 5, 'air quality': 2, 'pm2.5': 3, 'crop burning': 1, 'smog': 1}"
